,group1,group2,meandiff,p-adj,lower,upper,reject
373,Ridge,Stacking_LR,-0.0897,1.0,-3.3977,3.2183,False
374,Ridge,Stacking_NuSCV,-0.5644,1.0,-3.8724,2.7436,False
375,Ridge,Stacking_RF,-1.3521,0.9993,-4.6601,1.9559,False
376,Ridge,Stacking_Ridge,-0.5626,1.0,-3.8706,2.7454,False
377,Ridge,XGB,-0.4158,1.0,-3.7238,2.8922,False
378,SGD,SVC,1.353,0.9993,-1.955,4.661,False
379,SGD,Stacking_ETs,-0.7187,1.0,-4.0267,2.5893,False
380,SGD,Stacking_LR,-0.9714,1.0,-4.2794,2.3366,False
381,SGD,Stacking_NuSCV,-1.4462,0.9979,-4.7541,1.8618,False
382,SGD,Stacking_RF,-2.2338,0.7161,-5.5418,1.0741,False
383,SGD,Stacking_Ridge,-1.4444,0.9979,-4.7524,1.8636,False
384,SGD,XGB,-1.2976,0.9997,-4.6056,2.0104,False
385,SVC,Stacking_ETs,-2.0716,0.8371,-5.3796,1.2363,False
386,SVC,Stacking_LR,-2.3244,0.6378,-5.6324,0.9836,False
387,SVC,Stacking_NuSCV,-2.7991,0.2459,-6.1071,0.5089,False
388,SVC,Stacking_RF,-3.5868,0.0171,-6.8948,-0.2788,True
389,SVC,Stacking_Ridge,-2.7974,0.247,-6.1054,0.5106,False
390,SVC,XGB,-2.6505,0.3521,-5.9585,0.6574,False
391,Stacking_ETs,Stacking_LR,-0.2527,1.0,-3.5607,3.0552,False
392,Stacking_ETs,Stacking_NuSCV,-0.7275,1.0,-4.0355,2.5805,False
393,Stacking_ETs,Stacking_RF,-1.5152,0.9957,-4.8232,1.7928,False
394,Stacking_ETs,Stacking_Ridge,-0.7257,1.0,-4.0337,2.5823,False
395,Stacking_ETs,XGB,-0.5789,1.0,-3.8869,2.7291,False
396,Stacking_LR,Stacking_NuSCV,-0.4747,1.0,-3.7827,2.8333,False
397,Stacking_LR,Stacking_RF,-1.2624,0.9998,-4.5704,2.0456,False
398,Stacking_LR,Stacking_Ridge,-0.473,1.0,-3.781,2.835,False
399,Stacking_LR,XGB,-0.3262,1.0,-3.6341,2.9818,False
